feature,importance
cause_of_accident_overspeed,0.00024084613694644582
road_alignment_sharp_reverse_curve,0.0002389872518563061
road_surface_conditions_snow,0.00023631306081008381
lanes_or_medians_unknown,0.00023346618960572326
type_of_vehicle_turbo,0.000232836102225119
vehicle_movement_stopping,0.00022513186219602952
type_of_collision_collision_with_roadside_parked_vehicles,0.00021723159020294776
weather_conditions_snow,0.00019647659596718295
vehicle_movement_u_turn,0.00018956032473583514
area_accident_occured_rural_village_areas,0.0001820644081687344
driving_experience_unknown,0.00018194385945276682
light_conditions_darkness___lights_unlit,0.00017326213300686448
educational_level_illiterate,0.00017134532666517242
road_alignment_tangent_road_with_rolling_terrain,0.00013772781536871548
type_of_collision_fall_from_vehicles,0.0001250869413143766
vehicle_movement_waiting_to_go,0.00012125198666955612
road_alignment_steep_grade_upward_with_mountainous_terrain,0.00011427991303159347
type_of_vehicle_bajaj,0.00011347219422328006
weather_conditions_raining_and_windy,0.00010963435138564103
cause_of_accident_unknown,0.0001015348938007047
cause_of_accident_drunk_driving,9.270162068500133e-05
type_of_collision_other,9.097439028932998e-05
area_accident_occured_rural_village_areasoffice_areas,8.923498644022244e-05
casualty_severity_1,8.833172132119469e-05
cause_of_accident_improper_parking,8.436217401360751e-05
owner_of_vehicle_other,7.785635328477835e-05
types_of_junction_x_shape,7.074977008398726e-05
type_of_vehicle_bicycle,5.239247202340846e-05
area_accident_occured_unknown,5.235366399800733e-05
type_of_collision_unknown,4.8316265749308054e-05
vehicle_movement_parked,4.5233008492414256e-05
vehicle_driver_relation_unknown,3.574117052565878e-05
type_of_collision_with_train,2.4280054835594017e-05
weather_conditions_fog_or_mist,1.6075916094765602e-05
road_surface_conditions_flood_over_3cm__deep,5.942965473330472e-06
