longitude,latitude,junction_type,num_roads
103.729994,1.33806,t_shape,3
103.730086,1.33815,other,3
103.730275,1.338226,t_shape,3
103.730235,1.337903,t_shape,3
103.725823,1.423229,t_shape,3
103.732606,1.422707,t_shape,3
103.70029,1.399827,t_shape,3
103.697542,1.384779,x_shape,4
103.697991,1.397049,t_shape,3
103.699674,1.398091,x_shape,4
103.696445,1.375759,t_shape,3
103.848461,1.297054,t_shape,3
103.848084,1.297381,t_shape,3
103.749938,1.350441,t_shape,3
103.749756,1.350271,x_shape,4
103.74916,1.350792,t_shape,3
103.747971,1.349562,t_shape,3
103.748904,1.350512,t_shape,3
103.749063,1.350787,x_shape,4
103.749123,1.350743,x_shape,4
103.748157,1.349134,t_shape,3
103.679385,1.281034,t_shape,3
103.678415,1.280425,t_shape,3
103.678543,1.280519,x_shape,4
103.677387,1.282485,t_shape,3
103.677583,1.282135,t_shape,3
103.720519,1.285472,t_shape,3
103.705723,1.258462,t_shape,3
103.706208,1.258214,t_shape,3
103.696728,1.265329,t_shape,3
103.696734,1.265183,x_shape,4
103.701041,1.260784,t_shape,3
103.700499,1.261127,t_shape,3
103.699152,1.254057,t_shape,3
103.716123,1.271896,crossing,4
103.716004,1.271148,t_shape,3
103.715881,1.271232,t_shape,3
103.715942,1.271097,t_shape,3
103.71671,1.271274,t_shape,3
103.711848,1.268348,t_shape,3
103.712338,1.26808,x_shape,4
103.716744,1.270431,x_shape,4
103.716516,1.27,t_shape,3
103.7269,1.267178,t_shape,3
103.714099,1.266601,t_shape,3
103.714313,1.266997,x_shape,4
103.716073,1.271924,t_shape,3
103.716436,1.271068,t_shape,3
103.716509,1.271205,t_shape,3
103.726929,1.265956,t_shape,3
103.712385,1.274233,t_shape,3
103.710344,1.273908,t_shape,3
103.715946,1.272176,t_shape,3
103.703629,1.268129,t_shape,3
103.703748,1.267986,x_shape,4
103.69967,1.260706,t_shape,3
103.699986,1.261076,t_shape,3
103.670233,1.261312,t_shape,3
103.670392,1.261082,x_shape,4
103.669516,1.270035,t_shape,3
103.675526,1.274389,x_shape,4
103.680439,1.277834,t_shape,3
103.680326,1.277748,x_shape,4
103.66976,1.2697,t_shape,3
103.667826,1.258994,t_shape,3
103.667594,1.25846,t_shape,3
103.669261,1.262831,t_shape,3
103.667891,1.264743,t_shape,3
103.684999,1.271488,t_shape,3
103.684877,1.271401,x_shape,4
103.666027,1.267346,x_shape,4
103.665811,1.26719,t_shape,3
103.880432,1.353809,t_shape,3
103.880119,1.354329,t_shape,3
103.882703,1.35496,t_shape,3
103.881286,1.353278,x_shape,4
103.880198,1.355567,t_shape,3
103.881616,1.35507,o_shape,5
103.878977,1.353068,other,3
103.879655,1.353662,crossing,4
103.880055,1.353231,t_shape,3
103.88002,1.353259,t_shape,3
103.880672,1.359614,t_shape,3
103.877384,1.352082,t_shape,3
103.877309,1.35229,t_shape,3
103.882756,1.351134,x_shape,4
103.879041,1.347832,t_shape,3
103.878024,1.349332,t_shape,3
103.878083,1.348402,t_shape,3
103.875779,1.350302,t_shape,3
103.871182,1.32858,t_shape,3
103.868218,1.327089,t_shape,3
103.869204,1.331469,t_shape,3
103.868836,1.327418,crossing,4
103.86989,1.328123,t_shape,3
103.869566,1.327741,t_shape,3
103.869362,1.327084,t_shape,3
103.867788,1.32456,t_shape,3
103.871163,1.34307,t_shape,3
103.870858,1.342488,t_shape,3
103.866812,1.337005,t_shape,3
103.866993,1.337218,t_shape,3
103.855294,1.401653,t_shape,3
103.818273,1.440804,crossing,4
103.827801,1.459192,t_shape,3
103.82791,1.455466,t_shape,3
103.828645,1.455973,t_shape,3
103.826429,1.45755,t_shape,3
103.825637,1.457532,t_shape,3
103.868278,1.406563,t_shape,3
103.841526,1.355526,crossing,4
103.77021,1.297717,t_shape,3
103.770189,1.297556,t_shape,3
103.770289,1.299079,t_shape,3
103.77109,1.298286,t_shape,3
103.771197,1.300765,t_shape,3
103.771917,1.300513,t_shape,3
103.771149,1.300638,t_shape,3
103.772435,1.297266,t_shape,3
103.772149,1.297909,t_shape,3
103.77197,1.298018,t_shape,3
103.774281,1.298886,t_shape,3
103.770014,1.296124,t_shape,3
103.769719,1.295743,t_shape,3
103.774821,1.299201,t_shape,3
103.77016,1.298948,t_shape,3
103.774426,1.304685,t_shape,3
103.773852,1.30656,t_shape,3
103.773497,1.307223,x_shape,4
103.829766,1.452983,t_shape,3
103.825572,1.453376,t_shape,3
103.826164,1.453139,other,3
103.82465,1.452004,t_shape,3
103.825107,1.451439,t_shape,3
103.827766,1.453779,t_shape,3
103.828267,1.453576,t_shape,3
103.826448,1.458715,t_shape,3
