Types_of_Junction,accident_count,accident_rate_proxy
crossing,2177,0.190480356986613
no junction,3837,0.33572491031586316
o shape,164,0.01434946189517893
other,445,0.038936039898503805
t shape,60,0.005249803132382535
unknown,191,0.01671187330475107
x shape,12,0.0010499606264765071
y shape,4543,0.397497593840231
