longitude,latitude,junction_type,num_roads,connected_road_indices
103.825001,1.288508,T Shape,3,"[4627, 4628, 4636]"
103.833882,1.29892,X Shape,4,"[4651, 4952, 4953, 5339]"
103.841305,1.300977,T Shape,3,"[4668, 4669, 4871]"
103.848667,1.293278,T Shape,3,"[4687, 4712, 4713]"
103.844084,1.286538,T Shape,3,"[4700, 4701, 4930]"
103.843806,1.286714,T Shape,3,"[4701, 4702, 4929]"
103.844113,1.292674,X Shape,4,"[4704, 6074, 6081, 6085]"
103.841485,1.298563,T Shape,3,"[4720, 4722, 4726]"
103.841364,1.298603,T Shape,3,"[4722, 4723, 4906]"
103.841751,1.298479,T Shape,3,"[4725, 4726, 4790]"
103.84951,1.30451,T Shape,3,"[4738, 4739, 4740]"
103.834248,1.290972,T Shape,3,"[4745, 4746, 4786]"
103.841395,1.302332,T Shape,3,"[4764, 4765, 5228]"
103.836502,1.30475,Other,3,"[4808, 4809, 4809]"
103.844136,1.286566,T Shape,3,"[4867, 4930, 4931]"
103.825981,1.292912,Other,3,"[4949, 5442, 5443]"
103.833881,1.298876,T Shape,3,"[4952, 4954, 4963]"
103.834001,1.298247,T Shape,3,"[4955, 4959, 4961]"
103.833858,1.298577,X Shape,4,"[4956, 4957, 4958, 4960]"
103.834089,1.298518,T Shape,3,"[4956, 4959, 4961]"
103.833874,1.298751,T Shape,3,"[4958, 4962, 4966]"
103.833877,1.298796,T Shape,3,"[4962, 4963, 4967]"
103.834086,1.298774,T Shape,3,"[4964, 4965, 4968]"
103.834057,1.298772,T Shape,3,"[4964, 4966, 4967]"
103.845054,1.28651,X Shape,4,"[4976, 5558, 5596, 5996]"
103.8458,1.287364,X Shape,4,"[4979, 5591, 5592, 5876]"
103.845972,1.287596,T Shape,3,"[4979, 5540, 5599]"
103.848371,1.289992,T Shape,3,"[4982, 5728, 5729]"
103.843765,1.285012,Crossing,4,"[4997, 4998, 5096, 5991]"
103.846095,1.287156,X Shape,4,"[5014, 5590, 5592, 5593]"
103.849909,1.290196,T Shape,3,"[5062, 5085, 5630]"
103.843862,1.285132,Crossing,4,"[5096, 5992, 5994, 6298]"
103.825668,1.304791,T Shape,3,"[5097, 5361, 5362]"
103.831075,1.303887,T Shape,3,"[5101, 5102, 6090]"
103.830542,1.303869,Other,3,"[5102, 5372, 5698]"
