id,type,latitude,longitude,message
743,Roadwork,1.33045207452237,103.675243208609,(30/3)13:21 Roadworks on PIE (towards Tuas) at Upper Jurong Rd Entrance.
744,Vehicle breakdown,1.3280851992544345,103.8620068437524,(30/3)13:10 Vehicle breakdown on CTE (towards AYE) after PIE(Jurong) Exit. Avoid lane 3.
745,Roadwork,1.3944118618631625,103.77398114591456,(30/3)12:34 Roadworks on BKE (towards PIE) after KJE Exit. Avoid lane 1.
746,Roadwork,1.3808284693498774,103.91803130600336,(30/3)11:17 Roadworks on TPE (towards SLE) at Halus Link Exit.
747,Roadwork,1.3637301885468551,103.95792544285436,(30/3)10:44 Roadworks on TPE (towards PIE) at Loyang Ave Exit.
748,Roadwork,1.338427451388751,103.64728057525424,(30/3)9:55 Roadworks on AYE (towards MCE) after Tuas West Rd. Avoid lane 3.
749,Roadwork,1.32392116286934,103.97164949568727,(30/3)9:55 Roadworks on ECP (towards City) at Tanah Merah Coast Rd Entrance.
750,Roadwork,1.3418435279471028,103.78029213230089,(30/3)9:53 Roadworks on PIE (towards Tuas) after Clementi Rd Exit. Avoid lane 2.
751,Roadwork,1.3610922384732218,103.9601272137768,(30/3)9:44 Roadworks on TPE (towards SLE) at Tampines Ave 7 Entrance.
752,Roadwork,1.4007155109223586,103.86926966482748,(30/3)9:30 Roadworks on TPE (towards SLE) at Yio Chu Kang Rd Exit.
753,Roadwork,1.3594161006383476,103.96135907586554,(30/3)9:05 Roadworks on TPE (towards SLE) at Tampines Ave 7 Exit.
754,Roadwork,1.41520027053634,103.80508216444832,(30/3)8:40 Roadworks on SLE (towards CTE) before Mandai Ave Exit. Avoid lane 1.
755,Roadwork,1.281754759332948,103.832130612449,(30/3)8:36 Roadworks on CTE (towards SLE) after AYE Entrance. Avoid lane 3.
756,Roadwork,1.3671978044860222,103.86080258932478,(30/3)8:20 Roadworks on CTE (towards AYE) at Ang Mo Kio Ave 3 Entrance.
757,Roadwork,1.3260784319907994,103.73052897079997,(30/3)8:19 Roadworks on AYE (towards MCE) after Yuan Ching Exit. Avoid lane 1.
758,Roadwork,1.3747892178327108,103.85922988710236,(30/3)8:18 Roadworks on CTE (towards AYE) at Ang Mo Kio Ave 5 Entrance.
759,Roadwork,1.313187836796366,103.95386637187886,(30/3)8:18 Roadworks on ECP (towards Changi Airport) after Bayshore. Avoid lane 1.
760,Vehicle breakdown,1.3226274109175171,103.85717426417828,(30/3)14:01 Vehicle breakdown on CTE (towards AYE) after PIE(Jurong) Exit. Avoid lane 5.
761,Roadwork,1.335104920628375,103.93710796203464,(30/3)14:00 Roadworks on PIE (towards Changi Airport) after Bedok North Ave 3.
762,Vehicle breakdown,1.2782280004013695,103.82421757279717,(30/3)13:51 Vehicle breakdown on AYE (towards Tuas) after Lower Delta Rd Exit.
763,Roadwork,1.3368539755562228,103.98101218386329,(30/3)13:30 Roadworks on PIE (towards Tuas) after ECP Entrance. Avoid lane 1.
764,Roadwork,1.33045207452237,103.675243208609,(30/3)13:21 Roadworks on PIE (towards Tuas) at Upper Jurong Rd Entrance.
765,Vehicle breakdown,1.3280851992544345,103.8620068437524,(30/3)13:10 Vehicle breakdown on CTE (towards AYE) after PIE(Jurong) Exit. Avoid lane 3.
766,Roadwork,1.3944118618631625,103.77398114591456,(30/3)12:34 Roadworks on BKE (towards PIE) after KJE Exit. Avoid lane 1.
767,Roadwork,1.3808284693498774,103.91803130600336,(30/3)11:17 Roadworks on TPE (towards SLE) at Halus Link Exit.
768,Roadwork,1.3637301885468551,103.95792544285436,(30/3)10:44 Roadworks on TPE (towards PIE) at Loyang Ave Exit.
769,Roadwork,1.338427451388751,103.64728057525424,(30/3)9:55 Roadworks on AYE (towards MCE) after Tuas West Rd. Avoid lane 3.
770,Roadwork,1.32392116286934,103.97164949568727,(30/3)9:55 Roadworks on ECP (towards City) at Tanah Merah Coast Rd Entrance.
771,Roadwork,1.3418435279471028,103.78029213230089,(30/3)9:53 Roadworks on PIE (towards Tuas) after Clementi Rd Exit. Avoid lane 2.
772,Roadwork,1.3610922384732218,103.9601272137768,(30/3)9:44 Roadworks on TPE (towards SLE) at Tampines Ave 7 Entrance.
773,Roadwork,1.4007155109223586,103.86926966482748,(30/3)9:30 Roadworks on TPE (towards SLE) at Yio Chu Kang Rd Exit.
774,Roadwork,1.3594161006383476,103.96135907586554,(30/3)9:05 Roadworks on TPE (towards SLE) at Tampines Ave 7 Exit.
775,Roadwork,1.41520027053634,103.80508216444832,(30/3)8:40 Roadworks on SLE (towards CTE) before Mandai Ave Exit. Avoid lane 1.
776,Roadwork,1.281754759332948,103.832130612449,(30/3)8:36 Roadworks on CTE (towards SLE) after AYE Entrance. Avoid lane 3.
777,Roadwork,1.3671978044860222,103.86080258932478,(30/3)8:20 Roadworks on CTE (towards AYE) at Ang Mo Kio Ave 3 Entrance.
778,Roadwork,1.3260784319907994,103.73052897079997,(30/3)8:19 Roadworks on AYE (towards MCE) after Yuan Ching Exit. Avoid lane 1.
779,Roadwork,1.3747892178327108,103.85922988710236,(30/3)8:18 Roadworks on CTE (towards AYE) at Ang Mo Kio Ave 5 Entrance.
780,Roadwork,1.313187836796366,103.95386637187886,(30/3)8:18 Roadworks on ECP (towards Changi Airport) after Bayshore. Avoid lane 1.
781,Roadwork,1.2743284737360767,103.82969819800932,(29/3)22:58 Roadworks on AYE (towards Tuas) at Keppel Rd Entrance.
782,Heavy Traffic,1.3510004822117256,103.96463890309646,(29/3)22:49 Heavy Traffic on PIE (towards Tuas) at TPE(SLE) Exit.
783,Accident,1.3929800407568702,103.82760928589266,(29/3)22:46 Accident on SLE (towards CTE) before Lentor Ave Exit.
784,Roadwork,1.347705905966715,103.96619225544102,(29/3)22:02 Roadworks on PIE (towards Tuas) at TPE(SLE) Exit.
785,Roadwork,1.3581178643584852,103.7132378988984,(29/3)21:59 Roadworks on PIE (towards Tuas) before KJE. Avoid lane 4.
786,Vehicle breakdown,1.340881181904113,103.68392960609212,(29/3)21:49 Vehicle breakdown on PIE (towards Tuas) after Pioneer Rd North.
787,Heavy Traffic,1.3159820780210256,103.89668776688347,(29/3)21:10 Heavy Traffic on Geylang Road (toward City) after Joo Chiat Road.
788,Roadwork,1.3240577972964958,103.7437846686779,(29/3)20:21 Roadworks on AYE (towards MCE) at Jurong Town Hall Rd Exit.
789,Roadwork,1.3523143989718844,103.96370693174366,(29/3)20:05 Roadworks on PIE (towards Changi Airport) at TPE Exit. TPE Exit closed.
790,Roadwork,1.3559792459544462,103.96318378654888,(29/3)20:05 Roadworks on TPE (towards SLE) before PIE Entrance. Avoid lane 4.
791,Roadwork,1.2743284737360767,103.82969819800932,(29/3)22:58 Roadworks on AYE (towards Tuas) at Keppel Rd Entrance.
792,Heavy Traffic,1.3510004822117256,103.96463890309646,(29/3)22:49 Heavy Traffic on PIE (towards Tuas) at TPE(SLE) Exit.
793,Accident,1.3929800407568702,103.82760928589266,(29/3)22:46 Accident on SLE (towards CTE) before Lentor Ave Exit.
794,Roadwork,1.347705905966715,103.96619225544102,(29/3)22:02 Roadworks on PIE (towards Tuas) at TPE(SLE) Exit.
795,Roadwork,1.3581178643584852,103.7132378988984,(29/3)21:59 Roadworks on PIE (towards Tuas) before KJE. Avoid lane 4.
796,Vehicle breakdown,1.340881181904113,103.68392960609212,(29/3)21:49 Vehicle breakdown on PIE (towards Tuas) after Pioneer Rd North.
797,Heavy Traffic,1.3159820780210256,103.89668776688347,(29/3)21:10 Heavy Traffic on Geylang Road (toward City) after Joo Chiat Road.
798,Roadwork,1.3240577972964958,103.7437846686779,(29/3)20:21 Roadworks on AYE (towards MCE) at Jurong Town Hall Rd Exit.
799,Roadwork,1.3523143989718844,103.96370693174366,(29/3)20:05 Roadworks on PIE (towards Changi Airport) at TPE Exit. TPE Exit closed.
800,Roadwork,1.3559792459544462,103.96318378654888,(29/3)20:05 Roadworks on TPE (towards SLE) before PIE Entrance. Avoid lanes 3 and 4.
801,Roadwork,1.2743284737360767,103.82969819800932,(29/3)22:58 Roadworks on AYE (towards Tuas) at Keppel Rd Entrance.
802,Heavy Traffic,1.3510004822117256,103.96463890309646,(29/3)22:49 Heavy Traffic on PIE (towards Tuas) at TPE(SLE) Exit.
803,Accident,1.3929800407568702,103.82760928589266,(29/3)22:46 Accident on SLE (towards CTE) before Lentor Ave Exit.
804,Roadwork,1.347705905966715,103.96619225544102,(29/3)22:02 Roadworks on PIE (towards Tuas) at TPE(SLE) Exit.
805,Roadwork,1.3581178643584852,103.7132378988984,(29/3)21:59 Roadworks on PIE (towards Tuas) before KJE. Avoid lane 4.
806,Vehicle breakdown,1.340881181904113,103.68392960609212,(29/3)21:49 Vehicle breakdown on PIE (towards Tuas) after Pioneer Rd North.
807,Heavy Traffic,1.3159820780210256,103.89668776688347,(29/3)21:10 Heavy Traffic on Geylang Road (toward City) after Joo Chiat Road.
808,Roadwork,1.3240577972964958,103.7437846686779,(29/3)20:21 Roadworks on AYE (towards MCE) at Jurong Town Hall Rd Exit.
809,Roadwork,1.3523143989718844,103.96370693174366,(29/3)20:05 Roadworks on PIE (towards Changi Airport) at TPE Exit. TPE Exit closed.
810,Roadwork,1.3559792459544462,103.96318378654888,(29/3)20:05 Roadworks on TPE (towards SLE) before PIE Entrance. Avoid lanes 3 and 4.
811,Roadwork,1.365246648436681,103.85994244835538,(29/3)23:17 Roadworks on CTE (towards AYE) before AMK Ave 1 Exit. Avoid lane 4.
812,Roadwork,1.2743284737360767,103.82969819800932,(29/3)22:58 Roadworks on AYE (towards Tuas) at Keppel Rd Entrance.
813,Heavy Traffic,1.3510004822117256,103.96463890309646,(29/3)22:49 Heavy Traffic on PIE (towards Tuas) at TPE(SLE) Exit.
814,Accident,1.3929800407568702,103.82760928589266,(29/3)22:46 Accident on SLE (towards CTE) before Lentor Ave Exit.
815,Roadwork,1.347705905966715,103.96619225544102,(29/3)22:02 Roadworks on PIE (towards Tuas) at TPE(SLE) Exit.
816,Roadwork,1.3581178643584852,103.7132378988984,(29/3)21:59 Roadworks on PIE (towards Tuas) before KJE. Avoid lane 4.
817,Vehicle breakdown,1.340881181904113,103.68392960609212,(29/3)21:49 Vehicle breakdown on PIE (towards Tuas) after Pioneer Rd North.
818,Roadwork,1.3240577972964958,103.7437846686779,(29/3)20:21 Roadworks on AYE (towards MCE) at Jurong Town Hall Rd Exit.
819,Roadwork,1.3523143989718844,103.96370693174366,(29/3)20:05 Roadworks on PIE (towards Changi Airport) at TPE Exit. TPE Exit closed.
