Model,RMSE,R2
RandomForestRegressor,1.4382198807727113,0.6635136920255731
XGBRegressor,1.4685102841053768,0.6491909359669596
GradientBoostingRegressor,1.7212514695004641,0.518046132731965
DecisionTreeRegressor,1.9133410662999206,0.404472793030886
LinearRegression,1.9506786177849036,0.3810033930813379
Ridge,1.9507732298333704,0.3809433463297176
