id,station,latitude,longitude,rainfall,collected_at
2100,Simei Avenue,1.3437,103.9444,0.0,2025-03-31 22:50:00
2101,Somerset Road,1.3004,103.8372,0.0,2025-03-31 22:50:00
2102,South Buona Vista Road,1.2841,103.7886,0.0,2025-03-31 22:50:00
2103,Tanjong Rhu,1.29911,103.88289,0.0,2025-03-31 22:50:00
2104,Toa Payoh North,1.3427,103.8482,0.0,2025-03-31 22:50:00
2105,Towner Road,1.3214,103.8577,0.0,2025-03-31 22:50:00
2106,Tuas South Avenue 3,1.29377,103.61843,0.0,2025-03-31 22:50:00
2107,Upper Changi Road North,1.3678,103.9826,0.0,2025-03-31 22:50:00
2108,Upper Peirce Reservoir Park,1.37,103.805,0.0,2025-03-31 22:50:00
2109,Upper Thomson Road,1.3701,103.8271,0.0,2025-03-31 22:50:00
2110,West Coast Highway,1.281,103.754,0.0,2025-03-31 22:50:00
2111,West Coast Road,1.30167,103.76444,0.0,2025-03-31 22:50:00
2112,Woodlands Avenue 9,1.44387,103.78538,0.0,2025-03-31 22:50:00
2113,Woodlands Centre,1.44003,103.76904,0.0,2025-03-31 22:50:00
2114,Woodlands Drive 62,1.43944,103.80389,0.0,2025-03-31 22:50:00
2115,Yio Chu Kang Road,1.37999,103.87643,0.0,2025-03-31 22:50:00
2116,Yishun Ring Road,1.42111,103.84472,0.0,2025-03-31 22:50:00
